found|bluebook|normalized|source|shortName|issuingBody|issuingType
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Internal Revenue Service|U.S. Code
false|DOL Technical Bulletin 86-1|DOL TECHNICAL BULLETIN 86-1|Employee Retirement Income Security Act|ERISA||DOL Tech Bulletin
false|ERISA Title IV|ERISA TITLE IV|Employee Retirement Income Security Act - Human Resources|ERISA HR|US Congress|U.S. Code
false|Interagency Fair Lending Examination Procedures - Verify Accuracy of Data|INTERAGENCY FAIR LENDING EXAMINATION PROCEDURES - VERIFY ACCURACY OF DATA|Equal Credit Opportunity Act|Reg B||
false|The Bureau’s Mortgage Origination Rules FAQs related to the COVID-19 Emergency|THE BUREAUS MORTGAGE ORIGINATION RULES FAQS RELATED TO THE COVID EMERGENCY|Equal Credit Opportunity Act|Reg B|Consumer Financial Protection Bureau|CFPB Guidance
false|Section 615(a) and (b)|SECTION 615(a) AND B|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 615(a)|SECTION 615(a)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 615(b))|SECTION 615(b))|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 609(g)|SECTION 609(g)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 628|SECTION 628|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623(a)(8)|SECTION 623(a)(8)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 623(b)|SECTION 623(b)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 604(g)(2)|SECTION 604(g)(2)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 604|SECTION 604|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 609€|SECTION 609€|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 604(c) and 615(d)|SECTION 604(c) AND 615(d)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Sections 604(c) and 615(d)|SECTIONS 604(c) AND 615(d)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 623(a)(6)|SECTION 623(a)(6)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 615(f)|SECTION 615(f)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 605(h)|SECTION 605(h)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 615€|SECTION 615€|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 615(h)|SECTION 615(h)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 603(d)|SECTION 603(d)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 604(b)|SECTION 604(b)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 605(g)|SECTION 605(g)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623(a)(7)|SECTION 623(a)(7)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 606(a); 15 U.S.C. 1681d(a)|SECTION 606(a); 15 USC 1681d(a)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623€|SECTION 623€|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 623(a)(4)|SECTION 623(a)(4)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623(a)(4)|SECTION 623(a)(4)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623(a)(5)|SECTION 623(a)(5)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 623(a)|SECTION 623(a)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 624|SECTION 624|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||Code of Federal Regulations
false|Section 615€|SECTION 615€|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 605A(h)|SECTION 605A(h)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Section 605A(h)|SECTION 605A(h)|Fair Credit Reporting Act / Fair and Accurate Credit Transactions Act|FCRA/FACTA (Reg V)||
false|Citation Not Applicable because laws vary at the state level|CITATION NOT APPLICABLE BECAUSE LAWS VARY AT THE STATE LEVEL|Family and Medical Leave Act and other Job Protected Leaves|FMLA and Job Protected Leaves||
false|FDIC Statement of Policy for Section 19 of the FDI Act|FDIC STATEMENT OF POLICY FOR SECTION 19 OF THE FDI ACT|Federal Deposit Insurance Act, Section 19, Penalty for Unauthorized Participation by Convicted Individual|FDI Act, Sect 19||
false|Section 315 Energy Policy Act|SECTION 315 ENERGY POLICY ACT|Federal Energy Regulatory Commission|FERC||
false|Section 1283 Energy Policy Act|SECTION 1283 ENERGY POLICY ACT|Federal Energy Regulatory Commission|FERC||
false|Introduction|INTRODUCTION|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Interbank Payment and Messaging Systems|INTERBANK PAYMENT AND MESSAGING SYSTEMS|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Securities Settlement Systems|SECURITIES SETTLEMENT SYSTEMS|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Intrabank Payment and Messaging Systems|INTRABANK PAYMENT AND MESSAGING SYSTEMS|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Wholesale Payment Systems Risk Management|WHOLESALE PAYMENT SYSTEMS RISK MANAGEMENT|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix A: Examination Procedures|APPENDIX A EXAMINATION PROCEDURES|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix B: Glossary|APPENDIX B GLOSSARY|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix C: Laws, Regulations and Guidance|APPENDIX C LAWS REGULATIONS AND GUIDANCE|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix D: Legal Framework for Interbank Payment Systems|APPENDIX D LEGAL FRAMEWORK FOR INTERBANK PAYMENT SYSTEMS|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix E: Federal Reserve Board Payment System Risk Policy: Daylight Overdrafts|APPENDIX E FEDERAL RESERVE BOARD PAYMENT SYSTEM RISK POLICY DAYLIGHT OVERDRAFTS|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix F: Payment System Resiliency|APPENDIX F PAYMENT SYSTEM RESILIENCY|FFIEC - Wholesale Payment Systems (July 2004)|FFIEC - Wholesale Payment Systems (July 2004)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|IT Audit Roles and Responsibilities|IT AUDIT ROLES AND RESPONSIBILITIES|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Independence and Staffing of Internal IT Audit|INDEPENDENCE AND STAFFING OF INTERNAL IT AUDIT|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Internal Audit Program|INTERNAL AUDIT PROGRAM|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Risk Assessment and Risk-Based Auditing|RISK ASSESSMENT AND RISKBASED AUDITING|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Audit Participation in Application Development, Acquisition, Conversions, and Testing|AUDIT PARTICIPATION IN APPLICATION DEVELOPMENT ACQUISITION CONVERSIONS AND TESTING|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Outsourcing Internal IT Audit|OUTSOURCING INTERNAL IT AUDIT|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Third-Party Reviews of Technology Service Providers|THIRDPARTY REVIEWS OF TECHNOLOGY SERVICE PROVIDERS|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Endnotes|ENDNOTES|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix C: Laws, Regulations, and Guidance|APPENDIX C LAWS REGULATIONS AND GUIDANCE|FFIEC Audit Booklet|FFIEC Audit|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|01 Introduction|01 INTRODUCTION|FFIEC Development and Acquisition Booklet|FFIEC Development and Acquisition|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|02 Project Management|02 PROJECT MANAGEMENT|FFIEC Development and Acquisition Booklet|FFIEC Development and Acquisition|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|03 Development|03 DEVELOPMENT|FFIEC Development and Acquisition Booklet|FFIEC Development and Acquisition|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|04 Acquisition|04 ACQUISITION|FFIEC Development and Acquisition Booklet|FFIEC Development and Acquisition|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|05 Maintenance|05 MAINTENANCE|FFIEC Development and Acquisition Booklet|FFIEC Development and Acquisition|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|02 Definition of E-Banking|02 DEFINITION OF EBANKING|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|03 E-Banking Components|03 EBANKING COMPONENTS|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|04 E-Banking Support Services|04 EBANKING SUPPORT SERVICES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|05 E-Banking Risks|05 EBANKING RISKS|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|06 Risk Management of E-Banking Activities|06 RISK MANAGEMENT OF EBANKING ACTIVITIES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|07 Board and Management Oversight|07 BOARD AND MANAGEMENT OVERSIGHT|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|08 Managing Outsourcing Relationships|08 MANAGING OUTSOURCING RELATIONSHIPS|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|09 Information Security Program|09 INFORMATION SECURITY PROGRAM|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|10 Administrative controls|10 ADMINISTRATIVE CONTROLS|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|11 Legal and Compliance Issues|11 LEGAL AND COMPLIANCE ISSUES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|12 Endnotes|12 ENDNOTES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|13 Appendix A: Examination Procedures|13 APPENDIX A EXAMINATION PROCEDURES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|14 Appendix B: Glossary|14 APPENDIX B GLOSSARY|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|15 Appendix C: Laws, Regulations, and Guidance|15 APPENDIX C LAWS REGULATIONS AND GUIDANCE|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|16 Appendix D: Aggregation Services|16 APPENDIX D AGGREGATION SERVICES|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|17 Appendix E: Wireless Banking|17 APPENDIX E WIRELESS BANKING|FFIEC E-Banking Booklet (August, 2003)|FFIEC E-Banking Booklet (August, 2003)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|I Governance of the Information Security Program|I GOVERNANCE OF THE INFORMATION SECURITY PROGRAM|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|II Information Security Program Management|II INFORMATION SECURITY PROGRAM MANAGEMENT|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|III Security Operations|III SECURITY OPERATIONS|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|IV Information Security Program Effectiveness|IV INFORMATION SECURITY PROGRAM EFFECTIVENESS|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix B: Glossary (A-L)|APPENDIX B GLOSSARY AL|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix B: Glossary (M-Z)|APPENDIX B GLOSSARY MZ|FFIEC Information Security (2016)|FFIEC Information Security (2016)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_Introduction|ZZTECHGUIDANCEINTRODUCTION|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_I Business Continuity Management|ZZTECHGUIDANCEI BUSINESS CONTINUITY MANAGEMENT|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_II Business Continuity Management Governance|ZZTECHGUIDANCEII BUSINESS CONTINUITY MANAGEMENT GOVERNANCE|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_III Risk Management|ZZTECHGUIDANCEIII RISK MANAGEMENT|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_IV Business Continuity Strategies|ZZTECHGUIDANCEIV BUSINESS CONTINUITY STRATEGIES|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_V Business Continuity Plan|ZZTECHGUIDANCEV BUSINESS CONTINUITY PLAN|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_VI Training|ZZTECHGUIDANCEVI TRAINING|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_VII Exercises and Tests|ZZTECHGUIDANCEVII EXERCISES AND TESTS|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_VIII Maintenance and Improvement|ZZTECHGUIDANCEVIII MAINTENANCE AND IMPROVEMENT|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_IX Board Reporting|ZZTECHGUIDANCEIX BOARD REPORTING|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_Appendix A: Examination Procedures|ZZTECHGUIDANCEAPPENDIX A EXAMINATION PROCEDURES|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_Appendix B: Glossary|ZZTECHGUIDANCEAPPENDIX B GLOSSARY|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_Appendix C: Abbreviations|ZZTECHGUIDANCEAPPENDIX C ABBREVIATIONS|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|zz_TechGuidance_Appendix D: References|ZZTECHGUIDANCEAPPENDIX D REFERENCES|FFIEC IT - Business Continuity Management|FFIEC IT - Business Continuity Management|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|FFIEC IT Management Handbook: I Governance|FFIEC IT MANAGEMENT HANDBOOK I GOVERNANCE|FFIEC IT Management Handbook (2015)|FFIEC IT Management Handbook (2015)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|II Risk Management|II RISK MANAGEMENT|FFIEC IT Management Handbook (2015)|FFIEC IT Management Handbook (2015)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|III IT Risk Management|III IT RISK MANAGEMENT|FFIEC IT Management Handbook (2015)|FFIEC IT Management Handbook (2015)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Appendix C: References|APPENDIX C REFERENCES|FFIEC IT Management Handbook (2015)|FFIEC IT Management Handbook (2015)|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Roles and Responsibilities|ROLES AND RESPONSIBILITIES|FFIEC Operations Booklet|FFIEC Operations|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Risk Identification|RISK IDENTIFICATION|FFIEC Operations Booklet|FFIEC Operations|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Risk Assessment|RISK ASSESSMENT|FFIEC Operations Booklet|FFIEC Operations|Federal Financial Institutions Examination Council|Code of Federal Regulations
false|Risk Mitigation and Control Implementation|RISK MITIGATION AND CONTROL IMPLEMENTATION|FFIEC Operations Booklet|FFIEC Operations|Federal Financial Institutions Examination Council|Code of Federal Regulations
