"Federal Administrative and Legislative Materials","","","","Manual of Patent Examining Procedure","MPEP (8th ed. Rev. 7, Sept. 2008)","MPEP TH ED REV 7, SEPT 2008)",""
"Federal Administrative and Legislative Materials","","","","Interior Board of Land Appeals","IBLA","IBLA",""
"Federal Administrative and Legislative Materials","","","","Interior Board of Indian Appeals","DBIA","DBIA",""
"Federal Administrative and Legislative Materials","","","","Interior Board of Contract Appeals","IBCA","IBCA",""
"Federal Administrative and Legislative Materials","","","","Occupational Safety & Health Cases (BNA)","OSHC","OSHC",""
"Federal Administrative and Legislative Materials","","","","Occupational Safety & Health Decisions","OSHD","OSHD",""
"Federal Administrative and Legislative Materials","","","","Small disadvantaged business","SDBA","SDBA",""
"Federal Administrative and Legislative Materials","","","","Size determination","SIZ","SIZ",""
"Federal Administrative and Legislative Materials","","","","Service disabled veteran owned business","VET","VET",""
"Federal Administrative and Legislative Materials","","","","Business development program","BDP","BDP",""
"Federal Administrative and Legislative Materials","","","","North American Industry Classification System","NAICS","NAICS",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Southern Reporter","So., So. 2d, So. 3d","SO SO 2d, SO 3d",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Alabama Reports","Ala.","ALA",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Porter","Port.","PORT",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Stewart and Porter","Stew. & P.","STEW & P",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Stewart","Stew.","STEW",""
"U.S. States and Other Jurisdictions","Alabama","Supreme Court (Ala.): Cite to So., So. 2d, or So. 3d.","","Minor","Minor","MINOR",""
"U.S. States and Other Jurisdictions","Alabama","Court of Civil Appeals (Ala. Civ. App.) and Court of Criminal Appeals (Ala. Crim. App.), before 1969 Court of Appeals (Ala. Ct. App.): Cite to So., So. 2d, or So. 3d.","","Southern Reporter","So., So. 2d, So. 3d","SO SO 2d, SO 3d",""
"U.S. States and Other Jurisdictions","Alabama","Court of Civil Appeals (Ala. Civ. App.) and Court of Criminal Appeals (Ala. Crim. App.), before 1969 Court of Appeals (Ala. Ct. App.): Cite to So., So. 2d, or So. 3d.","","Alabama Appellate Courts Reports","Ala. App.","ALA APP",""
"U.S. States and Other Jurisdictions","Alabama","Statutory compilations: Cite to Ala. Code (published by West).","","Code of Alabama, 1975 (West)","Ala. Code ? x-x-x (<year>)","ALA CODE ? XXX YEAR",""
"U.S. States and Other Jurisdictions","Alabama","Statutory compilations: Cite to Ala. Code (published by West).","","Michie?s Alabama Code, 1975 (LexisNexis)","Ala. Code ? x-x-x (LexisNexis <year>)","ALA CODE ? XXX LEXISNEXIS YEAR",""
"U.S. States and Other Jurisdictions","Alabama","Session laws: Cite to Ala. Laws.","","Alabama Laws","<year> Ala. Laws <page no.>","YEAR ALA LAWS PAGE NO",""
"U.S. States and Other Jurisdictions","Alabama","Session laws: Cite to Ala. Laws.","","West?s Alabama Legislative Service","<year> Ala. Legis. Serv. <page no.> (West)","YEAR ALA LEGIS SERV PAGE NO WEST",""
"U.S. States and Other Jurisdictions","Alabama","Session laws: Cite to Ala. Laws.","","Michie?s Alabama Code <year> Advance Legislative Service (LexisNexis)","<year>-<pamph. no.> Ala. Adv. Legis. Serv. <page no.> (LexisNexis)","YEARPAMPH NO ALA ADV LEGIS SERV PAGE NO LEXISNEXIS",""
"U.S. States and Other Jurisdictions","Alabama","Administrative compilation","","Alabama Administrative Code","Ala. Admin. Code r. x-x-x.x (<year>)","ALA ADMIN CODE R XXXX YEAR",""
"U.S. States and Other Jurisdictions","Alabama","Administrative register","","Alabama Administrative Monthly","<vol. no.> Ala. Admin. Monthly <page no.> (<month day, year>)","VOL NO ALA ADMIN MONTHLY PAGE NO MONTH DAY YEAR",""
"U.S. States and Other Jurisdictions","Alaska","Supreme Court (Alaska): Cite to P.2d or P.3d.","","Pacific Reporter","P.2d, P.3d","PD PD",""
"U.S. States and Other Jurisdictions","Alaska","Court of Appeals (Alaska Ct. App.): Cite to P.2d or P.3d.","","Pacific Reporter","P.2d, P.3d","PD PD",""
"U.S. States and Other Jurisdictions","Alaska","District Courts of Alaska (D. Alaska): These courts had local jurisdiction from 1884 to 1959. Cite to F. Supp., F., or F.2d; else, cite to Alaska or Alaska Fed., in that order of preference.","","Federal Supplement","F. Supp.","F SUPP",""
"U.S. States and Other Jurisdictions","Alaska","District Courts of Alaska (D. Alaska): These courts had local jurisdiction from 1884 to 1959. Cite to F. Supp., F., or F.2d; else, cite to Alaska or Alaska Fed., in that order of preference.","","Federal Reporter","F., F.2d","F FD",""
"U.S. States and Other Jurisdictions","Alaska","District Courts of Alaska (D. Alaska): These courts had local jurisdiction from 1884 to 1959. Cite to F. Supp., F., or F.2d; else, cite to Alaska or Alaska Fed., in that order of preference.","","Alaska Reports","Alaska","ALASKA",""
"U.S. States and Other Jurisdictions","Alaska","District Courts of Alaska (D. Alaska): These courts had local jurisdiction from 1884 to 1959. Cite to F. Supp., F., or F.2d; else, cite to Alaska or Alaska Fed., in that order of preference.","","Alaska Federal Reports","Alaska Fed.","ALASKA FED",""
"U.S. States and Other Jurisdictions","Alaska","United States District Courts for California and Oregon, and District Courts of Washington (D. Cal., D. Or., D. Wash.): These courts had local jurisdiction in Alaska until 1884. Cite to F. or F. Cas.","","Federal Reporter","F.","F",""
"U.S. States and Other Jurisdictions","Alaska","United States District Courts for California and Oregon, and District Courts of Washington (D. Cal., D. Or., D. Wash.): These courts had local jurisdiction in Alaska until 1884. Cite to F. or F. Cas.","","Federal Cases","F. Cas.","F CAS",""
"U.S. States and Other Jurisdictions","Alaska","United States District Courts for California and Oregon, and District Courts of Washington (D. Cal., D. Or., D. Wash.): These courts had local jurisdiction in Alaska until 1884. Cite to F. or F. Cas.","","Alaska Federal Reports","Alaska Fed.","ALASKA FED",""
"U.S. States and Other Jurisdictions","Alaska","Statutory compilations: Cite to Alaska Stat.","","Alaska Statutes (LexisNexis)","Alaska Stat. ? x.x.x (<year>)","ALASKA STAT ? XXX YEAR",""
"U.S. States and Other Jurisdictions","Alaska","Statutory compilations: Cite to Alaska Stat.","","West?s Alaska Statutes Annotated","Alaska Stat. Ann. ? x.x.x (West <year>)","ALASKA STAT ANN ? XXX WEST YEAR",""
"U.S. States and Other Jurisdictions","Alaska","Session laws: Cite to Alaska Sess. Laws.","","Session Laws of Alaska","<year> Alaska Sess. Laws <page no.>","YEAR ALASKA SESS LAWS PAGE NO",""
"U.S. States and Other Jurisdictions","Alaska","Session laws: Cite to Alaska Sess. Laws.","","Alaska Statutes <year> Advance Legislative Service","<year>-<pamph. no.> Alaska Adv. Legis. Serv. <page no.> (LexisNexis)","YEARPAMPH NO ALASKA ADV LEGIS SERV PAGE NO LEXISNEXIS",""
"U.S. States and Other Jurisdictions","Alaska","Session laws: Cite to Alaska Sess. Laws.","","West?s Alaska Legislative Service","<year> Alaska Legis. Serv. <page no.> (West)","YEAR ALASKA LEGIS SERV PAGE NO WEST",""
"U.S. States and Other Jurisdictions","Alaska","Administrative compilation","","Alaska Administrative Code (LexisNexis)","Alaska Admin. Code tit. x, ? x.x (<year>)","ALASKA ADMIN CODE TIT X ? XX YEAR",""
"U.S. States and Other Jurisdictions","Arizona","Supreme Court (Ariz.): Cite to P., P.2d, or P.3d.","","Pacific Reporter","P., P.2d, P.3d","P PD PD",""
"U.S. States and Other Jurisdictions","Arizona","Supreme Court (Ariz.): Cite to P., P.2d, or P.3d.","","Arizona Reports","Ariz.","ARIZ",""
"U.S. States and Other Jurisdictions","Arizona","Court of Appeals (Ariz. Ct. App.): Cite to P.2d or P.3d.","","Pacific Reporter","P.2d, P.3d","PD PD",""
"U.S. States and Other Jurisdictions","Arizona","Court of Appeals (Ariz. Ct. App.): Cite to P.2d or P.3d.","","Arizona Reports","Ariz.","ARIZ",""
"U.S. States and Other Jurisdictions","Arizona","Court of Appeals (Ariz. Ct. App.): Cite to P.2d or P.3d.","","Arizona Appeals Reports","Ariz. App.","ARIZ APP",""
"U.S. States and Other Jurisdictions","Arizona","Tax Court (Ariz. Tax Ct.): Cite to P.2d or P.3d.","","Pacific Reporter","P.2d, P.3d","PD PD",""
"U.S. States and Other Jurisdictions","Arizona","Statutory compilations: Cite to Ariz. Rev. Stat. Ann..","","Arizona Revised Statutes Annotated (West)","Ariz. Rev. Stat. Ann. ? x-x (<year>)","ARIZ REV STAT ANN ? XX YEAR",""
"U.S. States and Other Jurisdictions","Arizona","Statutory compilations: Cite to Ariz. Rev. Stat. Ann..","","Arizona Revised Statutes (LexisNexis)","Ariz. Rev. Stat. ? x-x (LexisNexis <year>)","ARIZ REV STAT ? XX LEXISNEXIS YEAR",""
"U.S. States and Other Jurisdictions","Arizona","Session laws: Cite to Ariz. Sess. Laws.","","Session Laws, Arizona","<year> Ariz. Sess. Laws <page no.>","YEAR ARIZ SESS LAWS PAGE NO",""
"U.S. States and Other Jurisdictions","Arizona","Session laws: Cite to Ariz. Sess. Laws.","","Arizona Legislative Service (West)","<year> Ariz. Legis. Serv. <page no.> (West)","YEAR ARIZ LEGIS SERV PAGE NO WEST",""
"U.S. States and Other Jurisdictions","Arizona","Administrative compilation","","Arizona Administrative Code","Ariz. Admin. Code ? x-x-x (<year>)","ARIZ ADMIN CODE ? XXX YEAR",""
"U.S. States and Other Jurisdictions","Arizona","Administrative register","","Arizona Administrative Register","<vol. no.> Ariz. Admin. Reg. <page no.> (<month day, year>)","VOL NO ARIZ ADMIN REG PAGE NO MONTH DAY YEAR",""
"U.S. States and Other Jurisdictions","Arkansas","Supreme Court (Ark.): Cite to S.W., S.W.2d, or S.W.3d.","","South Western Reporter","S.W., S.W.2d, or S.W.3d","SW SWD OR SWD",""
"U.S. States and Other Jurisdictions","Arkansas","Supreme Court (Ark.): Cite to S.W., S.W.2d, or S.W.3d.","","Arkansas Reports","Ark.","ARK",""
"U.S. States and Other Jurisdictions","Arkansas","Court of Appeals (Ark. Ct. App.): Cite to S.W.2d or S.W.3d.","","South Western Reporter","S.W.2d, S.W.3d","SWD SWD",""
"U.S. States and Other Jurisdictions","Arkansas","Court of Appeals (Ark. Ct. App.): Cite to S.W.2d or S.W.3d.","","Arkansas Appellate Reports","Ark. App.","ARK APP",""
"U.S. States and Other Jurisdictions","Arkansas","Court of Appeals (Ark. Ct. App.): Cite to S.W.2d or S.W.3d.","","Arkansas Reports","Ark.","ARK",""
"U.S. States and Other Jurisdictions","Arkansas","Statutory compilations: Cite to Ark. Code Ann. (published by LexisNexis).","","Arkansas Code of 1987 Annotated (LexisNexis)","Ark. Code Ann. ? x-x-x (<year>)","ARK CODE ANN ? XXX YEAR",""
"U.S. States and Other Jurisdictions","Arkansas","Statutory compilations: Cite to Ark. Code Ann. (published by LexisNexis).","","West's Arkansas Code Annotated","Ark. Code Ann. ? x-x-x (West <year>)","ARK CODE ANN ? XXX WEST YEAR",""
"U.S. States and Other Jurisdictions","Arkansas","Session laws: Cite to Ark. Acts.","","Acts of Arkansas (West)","<year> Ark. Acts <page no.>","YEAR ARK ACTS PAGE NO",""
"U.S. States and Other Jurisdictions","Arkansas","Session laws: Cite to Ark. Acts.","","Arkansas Code of 1987 Annotated <year> Advance Legislative Service (LexisNexis)","<year>-<pamph. no.> Ark. Adv. Legis. Serv. <page no.> (LexisNexis)","YEARPAMPH NO ARK ADV LEGIS SERV PAGE NO LEXISNEXIS",""
"U.S. States and Other Jurisdictions","Arkansas","Session laws: Cite to Ark. Acts.","","West's Arkansas Legislative Service","<year> Ark. Legis. Serv. <page no.> (West)","YEAR ARK LEGIS SERV PAGE NO WEST",""
"U.S. States and Other Jurisdictions","Arkansas","Administrative compilation","","Code of Arkansas Rules (LexisNexis)","x-x-x Ark. Code R. ? x (LexisNexis <year>)","XXX ARK CODE R ? X LEXISNEXIS YEAR",""
"U.S. States and Other Jurisdictions","Arkansas","Administrative registers: Cite to Ark. Reg..","","Arkansas Register","<vol. no.> Ark. Reg. <page no.> (<month year>)","VOL NO ARK REG PAGE NO MONTH YEAR",""
"U.S. States and Other Jurisdictions","Arkansas","Administrative registers: Cite to Ark. Reg..","","Arkansas Government Register","<iss. no.> Ark. Gov?t Reg. <page no.> (LexisNexis <month year>)","ISS NO ARK GOVT REG PAGE NO LEXISNEXIS MONTH YEAR",""
"U.S. States and Other Jurisdictions","California","Supreme Court (Cal.): Cite to P., P.2d, or P.3d.","","Pacific Reporter","P., P.2d, P.3d","P PD PD",""
"U.S. States and Other Jurisdictions","California","Supreme Court (Cal.): Cite to P., P.2d, or P.3d.","","California Reports","Cal., Cal. 2d, Cal. 3d, Cal. 4th","CAL CAL 2d, CAL 3d, CAL 4th",""
"U.S. States and Other Jurisdictions","California","Supreme Court (Cal.): Cite to P., P.2d, or P.3d.","","West?s California Reporter","Cal. Rptr., Cal. Rptr. 2d, Cal. Rptr. 3d","CAL RPTR CAL RPTR 2d, CAL RPTR 3d",""
"U.S. States and Other Jurisdictions","California","Supreme Court (Cal.): Cite to P., P.2d, or P.3d.","","California Unreported Cases","Cal. Unrep.","CAL UNREP",""
"U.S. States and Other Jurisdictions","California","Court of Appeal (Cal. Ct. App.), previously District Court of Appeal (Cal. Dist. Ct. App.): Cite to P. or P.2d (before 1960) or Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","West?s California Reporter","Cal. Rptr., Cal. Rptr. 2d, Cal. Rptr. 3d","CAL RPTR CAL RPTR 2d, CAL RPTR 3d",""
"U.S. States and Other Jurisdictions","California","Court of Appeal (Cal. Ct. App.), previously District Court of Appeal (Cal. Dist. Ct. App.): Cite to P. or P.2d (before 1960) or Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","Pacific Reporter","P., P.2d","P PD",""
"U.S. States and Other Jurisdictions","California","Court of Appeal (Cal. Ct. App.), previously District Court of Appeal (Cal. Dist. Ct. App.): Cite to P. or P.2d (before 1960) or Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","California Appellate Reports","Cal. App., Cal. App. 2d, Cal. App. 3d, Cal. App. 4th","CAL APP CAL APP 2d, CAL APP 3d, CAL APP 4th",""
"U.S. States and Other Jurisdictions","California","Appellate Divisions of the Superior Court (Cal. App. Dep?t Super. Ct.): Cite to P. or P.2d (before 1960) or to Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","West?s California Reporter","Cal. Rptr., Cal. Rptr. 2d, Cal. Rptr. 3d","CAL RPTR CAL RPTR 2d, CAL RPTR 3d",""
"U.S. States and Other Jurisdictions","California","Appellate Divisions of the Superior Court (Cal. App. Dep?t Super. Ct.): Cite to P. or P.2d (before 1960) or to Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","Pacific Reporter","P., P.2d","P PD",""
"U.S. States and Other Jurisdictions","California","Appellate Divisions of the Superior Court (Cal. App. Dep?t Super. Ct.): Cite to P. or P.2d (before 1960) or to Cal. Rptr., Cal. Rptr. 2d (after 1959), or Cal. Rptr. 3d.","","California Appellate Reports Supplement (bound with Cal. App.)","Cal. App. Supp., Cal. App. 2d Supp., Cal. App. 3d Supp., Cal. App. 4th Supp.","CAL APP SUPP CAL APP 2d SUPP CAL APP 3d SUPP CAL APP 4th SUPP",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","West?s Annotated California Codes","Cal. <Subject> Code ? x (West <year>)","CAL SUBJECT CODE ? X WEST YEAR",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Deering?s California Codes, Annotated (LexisNexis)","Cal. <Subject> Code ? x (Deering <year>)","CAL SUBJECT CODE ? X DEERING YEAR",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Agricultural (renamed ?Food and Agricultural? in 1972)","Agric.","AGRIC",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Business and Professions","Bus. & Prof.","BUS & PROF",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Civil","Civ.","CIV",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Civil Procedure","Civ. Proc.","CIV PROC",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Commercial","Com.","COM",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Corporations","Corp.","CORP",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Education","Educ.","EDUC",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Elections","Elec.","ELEC",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Evidence","Evid.","EVID",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Family","Fam.","FAM",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Financial","Fin.","FIN",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Fish and Game","Fish & Game","FISH & GAME",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Food and Agricultural (formerly ?Agricultural?)","Food & Agric.","FOOD & AGRIC",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Government","Gov?t","GOVT",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Harbors and Navigation","Harb. & Nav.","HARB & NAV",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Health and Safety","Health & Safety","HEALTH & SAFETY",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Insurance","Ins.","INS",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Labor","Lab.","LAB",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Military and Veterans","Mil. & Vet.","MIL & VET",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Penal","Penal","PENAL",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Probate","Prob.","PROB",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Public Contract","Pub. Cont.","PUB CONT",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Public Resources","Pub. Res.","PUB RES",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Public Utilities","Pub. Util.","PUB UTIL",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Revenue and Taxation","Rev. & Tax.","REV & TAX",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Streets and Highways","Sts. & High.","STS & HIGH",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Unemployment Insurance","Unemp. Ins.","UNEMP INS",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Vehicle","Veh.","VEH",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Water","Water","WATER",""
"U.S. States and Other Jurisdictions","California","Statutory compilations: Cite to either the West or the Deering subject-matter code.","","Welfare and Institutions","Welf. & Inst.","WELF & INST",""
"U.S. States and Other Jurisdictions","California","Session laws: Cite to Cal. Stat..","","Statutes of California","<year> Cal. Stat. <page no.>","YEAR CAL STAT PAGE NO",""
"U.S. States and Other Jurisdictions","California","Session laws: Cite to Cal. Stat..","","West?s California Legislative Service","<year> Cal. Legis. Serv. <page no.> (West)","YEAR CAL LEGIS SERV PAGE NO WEST",""
"U.S. States and Other Jurisdictions","California","Session laws: Cite to Cal. Stat..","","Deering?s California Advance Legislative Service (LexisNexis)","<year>-<pamph. no.> Cal. Adv. Legis. Serv. <page no.> (LexisNexis)","YEARPAMPH NO CAL ADV LEGIS SERV PAGE NO LEXISNEXIS",""
"U.S. States and Other Jurisdictions","California","Administrative compilation","","California Code of Regulations (West)","Cal. Code Regs. tit. x, ? x (<year>)","CAL CODE REGS TIT X ? X YEAR",""
"U.S. States and Other Jurisdictions","California","Administrative register","","California Regulatory Notice Register","<iss. no.> Cal. Regulatory Notice Reg. <page no.> (<month day, year>)","ISS NO CAL REGULATORY NOTICE REG PAGE NO MONTH DAY YEAR",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Pacific Reporter","P., P.2d, P.3d","P PD PD",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Colorado Reports","Colo.","COLO",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Colorado Lawyer","Colo. Law.","COLO LAW",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Brief Times Reporter","Brief Times Rptr.","BRIEF TIMES RPTR",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Colorado Journal","Colo. J.","COLO J",""
"U.S. States and Other Jurisdictions","Colorado","Supreme Court (Colo.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo., if found there, or to Colo. Law. or Brief Times Rptr.","","Law Week Colorado","L. Week Colo.","L WEEK COLO",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Pacific Reporter","P.2d, P.3d","PD PD",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","","P.","P",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","","P.","P",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Colorado Court of Appeals Reports","Colo. App.","COLO APP",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","","Colo. App.","COLO APP",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","","Colo. App.","COLO APP",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Colorado Lawyer","Colo. Law.","COLO LAW",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Brief Times Reporter","Brief Times Rptr.","BRIEF TIMES RPTR",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Colorado Journal","Colo. J.","COLO J",""
"U.S. States and Other Jurisdictions","Colorado","Court of Appeals (Colo. App.): Cite to P., P.2d, or P.3d, if found there; else, cite to Colo. App., if found there, or else to one of the other reporters listed below.","","Law Week Colorado","L. Week Colo.","L WEEK COLO",""
"U.S. States and Other Jurisdictions","Colorado","Statutory compilations: Cite to Colo. Rev. Stat..","","Colorado Revised Statutes (LexisNexis)","Colo. Rev. Stat. ? x-x-x (<year>)","COLO REV STAT ? XXX YEAR",""
"U.S. States and Other Jurisdictions","Colorado","Statutory compilations: Cite to Colo. Rev. Stat..","","West?s Colorado Revised Statutes Annotated","Colo. Rev. Stat. Ann. ? x-x-x (West <year>)","COLO REV STAT ANN ? XXX WEST YEAR",""
"U.S. States and Other Jurisdictions","Colorado","Session laws: Cite to Colo. Sess. Laws.","","Session Laws of Colorado (LexisNexis)","<year> Colo. Sess. Laws <page no.>","YEAR COLO SESS LAWS PAGE NO",""
