Unique ID,Identification Field,Issuance Type,Weblink,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,2020,2021,2022,2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type,Identification Field,QA Data Testing,QA Data Testing 2,QA Data Testing 3,Ingestion Status,Ingestion Status 2,Ingestion Status 3,Cost,Data Conversion,SDC Status,Baseline Content,Engin Status
001300,,Central Bank of Argentina Prudential Regulations,https://www.bcra.gob.ar/Pdfs/SistemasFinancierosYdePagos/marco%20normativo_i.pdf,International ,LATAM,Argentina,Central Bank of Argentina,English,Central Bank of Argentina Prudential Regulations,https://www.bcra.gob.ar/Pdfs/SistemasFinancierosYdePagos/marco%20normativo_i.pdf,12,,,,2023-09-29 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001674,,Banco Central de la Republica Argentina (BCRA) Communications,https://www.bcra.gob.ar/SistemasFinancierosYdePagos/Buscador_de_comunicaciones.asp,International ,LATAM,Argentina,Central Bank of Argentina,Spanish,Banco Central de la Republica Argentina (BCRA) Communications,https://www.bcra.gob.ar/SistemasFinancierosYdePagos/Buscador_de_comunicaciones.asp,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001301,,Argentina Labour Laws,https://www.argentina.gob.ar/trabajo,International ,LATAM,Argentina,Argentina Ministry of Labour,Spanish,Argentina Labour Laws,https://www.argentina.gob.ar/trabajo,12,,,,2023-09-29 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001664,,Argentina - Administracion Federal de Ingresos Publicos (AFIP) General Resolutions,http://biblioteca.afip.gob.ar/search/query/index.aspx,International ,LATAM,Argentina,Administracion Federal de Ingresos Publicos (AFIP),Spanish,Argentina - Administracion Federal de Ingresos Publicos (AFIP) General Resolutions,http://biblioteca.afip.gob.ar/search/query/index.aspx,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001670,,Argentina Data Protection Agency (DPA) Dispositions,https://www.argentina.gob.ar/aaip/buscador-normativa,International ,LATAM,Argentina,Argentina Data Protection Agency (DPA),Spanish,Argentina Data Protection Agency (DPA) Dispositions,https://www.argentina.gob.ar/aaip/buscador-normativa,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001675,,Argentina - Unidad de Informacion Financiera (UIF) Regulations,https://www.argentina.gob.ar/uif/normativa/leyes,International ,LATAM,Argentina,Argentina - Unidad de Informacion Financiera,Spanish,Argentina - Unidad de Informacion Financiera (UIF) Regulations,https://www.argentina.gob.ar/uif/normativa/leyes,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
000628,,Arizona - Bills,https://apps.azleg.gov/BillStatus/BillOverview,US State,United States,Arizona,Arizona State Legislature,English,Arizona - Bills,https://apps.azleg.gov/BillStatus/BillOverview,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Arizona - Revised Statutes,,,,,P1,,,,,,,SESSION_LAWS,,,,,,,,,DCL,,,
000627,ARIZONA_ADMINISTRATIVE_CODE,Arizona - Administrative Code,https://azsos.gov/rules/arizona-administrative-code,US State,United States,Arizona,Arizona State Legislature,English,Arizona - Administrative Code,https://azsos.gov/rules/arizona-administrative-code,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Ariz. Admin. Code § {{TITLE}}-{{CHAPTER}}-{{SECTION}},,,P0,,,,,,,,ADMINISTRATIVE_COMPILATION,ARIZONA_ADMINISTRATIVE_CODE,,,,,,,,DCL,In progress,Delivered,Yes
000630,ARIZONA_STATUTES,Arizona - Revised Statutes,https://www.azleg.gov/arstitle/ ,US State,United States,Arizona,Arizona State Legislature,English,Arizona - Revised Statutes,https://www.azleg.gov/arstitle/ ,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Ariz. Rev. Stat. § {{TITLE}}-{{SECTION}},,,P0,,,,,,,,STATUTORY_COMPILATION,ARIZONA_STATUTES,,,,,,,,DCL,Delivered,Delivered,Yes
001064,,Arizona - Register,https://azsos.gov/rules/arizona-administrative-register,US State,United States,Arizona,Arizona State Legislature,English,Arizona - Register,https://azsos.gov/rules/arizona-administrative-register,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,,,,,,P1,,,,,,,ADMINISTRATIVE_REGISTER,,,,,,,,,DCL,,,
000632,,Arkansas - Register,https://www.sos.arkansas.gov/rules-regulations/arkansas-register/,US State,United States,Arkansas ,Arkansas State Legislature,English,Arkansas - Register,https://www.sos.arkansas.gov/rules-regulations/arkansas-register/,3,checked,,,2021-06-25 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,,,,,,P1,,,,,,,,,,,,,,,,Innodata,,,
001507,,Arkansas - Bills,https://www.arkleg.state.ar.us/Bills,US State,United States,Arkansas ,Arkansas State Legislature,English,Arkansas - Bills,https://www.arkleg.state.ar.us/Bills,3,checked,,,2021-06-25 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Arkansas - Revised Statutes,,,,,P1,,,,,,,,,,,,,,,,Innodata,,,
000634,,Arkansas Admin Rule,https://www.ark.org/rules_and_regs/index.php/rules/search/new,US State,United States,Arkansas ,Arkansas State Legislature,English,Arkansas Admin Rule,https://www.ark.org/rules_and_regs/index.php/rules/search/new,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,P1,,,,,,,,,,,,,,,,,Innodata,,,
000633,,Arkansas - Revised Statutes,https://advance.lexis.com/container?config=00JAA3ZTU0NTIzYy0zZDEyLTRhYmQtYmRmMS1iMWIxNDgxYWMxZTQKAFBvZENhdGFsb2cubRW4ifTiwi5vLw6cI1uX&crid=3c0891ba-930f-4528-8ab7-507137db9105&prid=aed02e37-ba1b-4a47-9d10-0ec5c629eedf ,US State,United States,Arkansas ,Arkansas State Legislature,English,Arkansas - Revised Statutes,https://advance.lexis.com/container?config=00JAA3ZTU0NTIzYy0zZDEyLTRhYmQtYmRmMS1iMWIxNDgxYWMxZTQKAFBvZENhdGFsb2cubRW4ifTiwi5vLw6cI1uX&crid=3c0891ba-930f-4528-8ab7-507137db9105&prid=aed02e37-ba1b-4a47-9d10-0ec5c629eedf ,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Ark. Stat. § 1.1,,,,P1,,,,,Lexis,,,,,,,,,,,Innodata,,,
001712,,Australia - Queensland Legislation,https://www.legislation.qld.gov.au/,International ,APAC,Australia,Queensland Government,English,Australia - Queensland Legislation,https://www.legislation.qld.gov.au/,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001714,,Australia - Victoria Legislation,https://www.legislation.vic.gov.au/,International ,APAC,Australia,Parliament of Victoria,English,Australia - Victoria Legislation,https://www.legislation.vic.gov.au/,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001303,,AUSTRAC Guidance,https://www.austrac.gov.au/business/industry-specific-guidance,International ,APAC,Australia,Australian Transaction Reports and Analysis Centre,English,AUSTRAC Guidance,https://www.austrac.gov.au/business/industry-specific-guidance,10,,,,2023-03-24 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001302,,AUSTRAC Recent Updates,https://www.austrac.gov.au/business/updates,International ,APAC,Australia,Australian Transaction Reports and Analysis Centre,English,AUSTRAC Recent Updates,https://www.austrac.gov.au/business/updates,10,,,,2023-03-24 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001716,,Australia Fair Work Commission (FWC) Decisions,https://www.fwc.gov.au/cases-decisions-and-orders,International ,APAC,Australia,Fair Work Commission,English,Australia Fair Work Commission (FWC) Decisions,https://www.fwc.gov.au/cases-decisions-and-orders,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001717,,Australia - Fair Work Commission Awards,https://www.fwc.gov.au/search/document/award?search_api_views_fulltext&display_switcher=/search/document/award&field_fwc_doc_type%5B0%5D=3561&title&reference&field_fwc_doc_old_pub_code&field_fwc_doc_industry=All&field_fwc_doc_common_rule=All&field_fwc_doc_state=All,International ,APAC,Australia,Fair Work Commission,English,Australia - Fair Work Commission Awards,https://www.fwc.gov.au/search/document/award?search_api_views_fulltext&display_switcher=/search/document/award&field_fwc_doc_type%5B0%5D=3561&title&reference&field_fwc_doc_old_pub_code&field_fwc_doc_industry=All&field_fwc_doc_common_rule=All&field_fwc_doc_state=All,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
000015,,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/register-of-authorised-deposit-taking-institutions,International ,APAC,Australia,Australian Prudential Regulation Authority (APRA),English,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/register-of-authorised-deposit-taking-institutions,10,,,,2023-03-24 00:00,,,Proposed/Monitoring,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
000014,,Prudential and Reporting Standards for Authorised Deposit-Taking Institutions,https://www.apra.gov.au/industries/1/standards,International ,APAC,Australia,Australian Prudential Regulation Authority (APRA),English,Prudential and Reporting Standards for Authorised Deposit-Taking Institutions,https://www.apra.gov.au/industries/1/standards,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001305,,Australia FWC Bulletins,https://www.fwc.gov.au/cases-decisions-and-orders/fwc-bulletin,International ,APAC,Australia,Australia Fair Work Commission,English,Australia FWC Bulletins,https://www.fwc.gov.au/cases-decisions-and-orders/fwc-bulletin,10,,,,2023-03-24 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001715,,Australia - Western Australia Legislation,https://www.legislation.wa.gov.au/,International ,APAC,Australia,Government of Western Australia,English,Australia - Western Australia Legislation,https://www.legislation.wa.gov.au/,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001306,,Australia OAIC News and Media,https://www.oaic.gov.au/updates/news-and-media/,International ,APAC,Australia,Office of the Australian Information Commissioner,English,Australia OAIC News and Media,https://www.oaic.gov.au/updates/news-and-media/,10,,,,2023-03-24 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001711,,Australia - New Sourth Wales (NSW) Legislation,https://www.legislation.nsw.gov.au/#/,International ,APAC,Australia,New South Wales Government,English,Australia - New Sourth Wales (NSW) Legislation,https://www.legislation.nsw.gov.au/#/,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001713,,Australia - South Australian Legislation,https://www.legislation.sa.gov.au/index.aspx,International ,APAC,Australia,Government of South Australia,English,Australia - South Australian Legislation,https://www.legislation.sa.gov.au/index.aspx,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001304,,Australian Government Information Security Manual,https://www.cyber.gov.au/ism,International ,APAC,Australia,Australian Cyber Security Centre,English,Australian Government Information Security Manual,https://www.cyber.gov.au/ism,10,,,,2023-03-24 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
000012,,Australian Acts (Federal Register of Legislation),https://www.legislation.gov.au/Browse/ByTitle/Acts/InForce/0/0/Principal,International ,APAC,Australia,Australian Securities and Investments Commission,English,Australian Acts (Federal Register of Legislation),https://www.legislation.gov.au/Browse/ByTitle/Acts/InForce/0/0/Principal,10,,,,2023-03-24 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_REGISTER,,,,,,,,,DCL,,,
001309,,SCB Acts and Regulations,http://www.scb.gov.bs/acts_regs.html,International ,LATAM,Bahamas,Securities Commission of the Bahamas (SCB),English,SCB Acts and Regulations,http://www.scb.gov.bs/acts_regs.html,12,,,,2023-09-29 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_COMPILATION,,,,,,,,,DCL,,,
001677,,Securities Commission of The Bahamas (SCB) Rules and Orders,http://www.scb.gov.bs/rules_guide.html,International ,LATAM,Bahamas,Securities Commission of the Bahamas (SCB),English,Securities Commission of The Bahamas (SCB) Rules and Orders,http://www.scb.gov.bs/rules_guide.html,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,ADMINISTRATIVE_GUIDANCE,,,,,,,,,DCL,,,
001311,,Bahamas Legislation,http://laws.bahamas.gov.bs/cms/en/legislation/laws/by-title.html#,International ,LATAM,Bahamas,The Government of The Bahamas ,English,Bahamas Legislation,http://laws.bahamas.gov.bs/cms/en/legislation/laws/by-title.html#,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,checked,,,,,,,,,,,,P4,,,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
